year,count
1980,76995
1981,98241
1982,67002
1983,75007
1984,73088
1985,90272
1986,81644
1987,98014
1988,100569
1989,133867
1990,221454
1991,284902
1992,302184
1993,131392
1994,122853
1995,100959
1996,93602
1997,88244
1998,87043
1999,89325
2e3,108831
2001,115623
2002,120208
2003,179893
2004,298325
2005,368206
2006,396705
2007,457095
2008,363122
2009,388806
2010,406290
2011,423266
2012,532729
2013,518528
2014,626694
2015,500100
