year,male,female
1994,62678,60175
1995,52650,48309
1996,48822,44780
1997,46854,41390
1998,46724,40319
1999,47954,41371
2e3,56934,51897
2001,56016,59607
2002,55902,64306
2003,79946,99947
2004,128636,169689
2005,157428,210778
2006,177615,219090
2007,217683,239412
2008,162971,200151
2009,154852,233954
2010,152e3,254290
2011,151227,272039
2012,183244,349485
2013,176288,342240
2014,204128,422566
2015,168106,331994
2016,261947,546473
