Year,,Month,Location,number of visitors,,,,,,,,,,,,,小計
102 (2013),102/07,2013/7,菲律賓,"8,279",,,,,,,,,,,,,
102 (2013),102/08,2013/8,菲律賓,"6,702",,,,,,,,,,,,,
102 (2013),102/09,2013/9,菲律賓,"6,796",,,,,,,,,,,,,
102 (2013),102/10,2013/10,菲律賓,"8,248",,,,,,,,,,,,,
102 (2013),102/11,2013/11,菲律賓,"8,684",,,,,,,,,,,,,
102 (2013),102/12,2013/12,菲律賓,"7,681",,,,,,,,,,,,,
103 (2014),103/01,2014/1,菲律賓,"11,344",,,,,,,,,,,,,
103 (2014),103/02,2014/2,菲律賓,"10,193",,,,,,,,,,,,,
103 (2014),103/03,2014/3,菲律賓,"9,294",,,,,,,,,,,,,
103 (2014),103/04,2014/4,菲律賓,"8,999",,,,,,,,,,,,,
103 (2014),103/05,2014/5,菲律賓,"10,440",,,,,,,,,,,,,
103 (2014),103/06,2014/6,菲律賓,"11,532",,,,,,,,,,,,,
103 (2014),103/07,2014/7,菲律賓,"14,763",,,,,,,,,,,,,
103 (2014),103/08,2014/8,菲律賓,"13,620",,,,,,,,,,,,,
103 (2014),103/09,2014/9,菲律賓,"11,551",,,,,,,,,,,,,
103 (2014),103/10,2014/10,菲律賓,"11,677",,,,,,,,,,,,,
103 (2014),103/11,2014/11,菲律賓,"9,759",,,,,,,,,,,,,
103 (2014),103/12,2014/12,菲律賓,"10,411",,,,,,,,,,,,,
104 (2015),104/01,2015/1,菲律賓,"11,112",,,,,,,,,,,,,
104 (2015),104/02,2015/2,菲律賓,"16,525",,,,,,,,,,,,,
104 (2015),104/03,2015/3,菲律賓,"14,804",,,,,,,,,,,,,
104 (2015),104/04,2015/4,菲律賓,"14,838",,,,,,,,,,,,,
104 (2015),104/05,2015/5,菲律賓,"14,719",,,,,,,,,,,,,
104 (2015),104/06,2015/6,菲律賓,"16,136",,,,,,,,,,,,,
104 (2015),104/07,2015/7,菲律賓,"19,031",,,,,,,,,,,,,
104 (2015),104/08,2015/8,菲律賓,"16,199",,,,,,,,,,,,,
104 (2015),104/09,2015/9,菲律賓,"14,529",,,,,,,,,,,,,
104 (2015),104/10,2015/10,菲律賓,"16,192",,,,,,,,,,,,,
104 (2015),104/11,2015/11,菲律賓,"13,176",,,,,,,,,,,,,
104 (2015),104/12,2015/12,菲律賓,"12,830",,,,,,,,,,,,,
105 (2016),105/01,2016/1,菲律賓,"15,620",,,,,,,,,,,,,
105 (2016),105/02,2016/2,菲律賓,"18,711",,,,,,,,,,,,,
105 (2016),105/03,2016/3,菲律賓,"16,239",,,,,,,,,,,,,
105 (2016),105/04,2016/4,菲律賓,"18,676",,,,,,,,,,,,,
105 (2016),105/05,2016/5,菲律賓,"18,826",,,,,,,,,,,,,
105 (2016),105/06,2016/6,菲律賓,"23,112",,,,,,,,,,,,,
105 (2016),105/07,2016/7,菲律賓,"25,752",,,,,,,,,,,,,
105 (2016),105/08,2016/8,菲律賓,"22,032",,,,,,,,,,,,,
105 (2016),105/09,2016/9,菲律賓,"21,798",,,,,,,,,,,,,
105 (2016),105/10,2016/10,菲律賓,"18,409",,,,,,,,,,,,,
105 (2016),105/11,2016/11,菲律賓,"16,735",,,,,,,,,,,,,
105 (2016),105/12,2016/12,菲律賓,"15,891",,,,,,,,,,,,,
106 (2017),106/01,2017/1,菲律賓,"22,703",,,,,,,,,,,,,
106 (2017),106/02,2017/2,菲律賓,"21,308",,,,,,,,,,,,,
106 (2017),106/03,2017/3,菲律賓,"21,126",,,,,,,,,,,,,
106 (2017),106/04,2017/4,菲律賓,"19,949",,,,,,,,,,,,,
106 (2017),106/05,2017/5,菲律賓,"21,634",,,,,,,,,,,,,
106 (2017),106/06,2017/6,菲律賓,"18,837",,,,,,,,,,,,,
106 (2017),106/07,2017/7,菲律賓,"22,920",,,,,,,,,,,,,
106 (2017),106/08,2017/8,菲律賓,"19,051",,,,,,,,,,,,,
106 (2017),106/09,2017/9,菲律賓,"17,003",,,,,,,,,,,,,
106 (2017),106/10,2017/10,菲律賓,"20,289",,,,,,,,,,,,,
101 (2012),101/01,2012/1,印尼,"20,955",,,,,,,,,,,,,
101 (2012),101/02,2012/2,印尼,"15,326",,,,,,,,,,,,,
101 (2012),101/03,2012/3,印尼,"14,929",,,,,,,,,,,,,
101 (2012),101/04,2012/4,印尼,"16,200",,,,,,,,,,,,,
101 (2012),101/05,2012/5,印尼,"16,795",,,,,,,,,,,,,
101 (2012),101/06,2012/6,印尼,"19,619",,,,,,,,,,,,,
101 (2012),101/07,2012/7,印尼,"21,085",,,,,,,,,,,,,
101 (2012),101/08,2012/8,印尼,"16,802",,,,,,,,,,,,,
101 (2012),101/09,2012/9,印尼,"16,232",,,,,,,,,,,,,
101 (2012),101/10,2012/10,印尼,"18,961",,,,,,,,,,,,,
101 (2012),101/11,2012/11,印尼,"11,537",,,,,,,,,,,,,
101 (2012),101/12,2012/12,印尼,"10,452",,,,,,,,,,,,,
102 (2013),102/01,2013/1,印尼,"10,597",,,,,,,,,,,,,
102 (2013),102/02,2013/2,印尼,"17,474",,,,,,,,,,,,,
102 (2013),102/03,2013/3,印尼,"13,390",,,,,,,,,,,,,
102 (2013),102/04,2013/4,印尼,"13,472",,,,,,,,,,,,,
102 (2013),102/05,2013/5,印尼,"12,612",,,,,,,,,,,,,
102 (2013),102/06,2013/6,印尼,"16,063",,,,,,,,,,,,,
102 (2013),102/07,2013/7,印尼,"16,650",,,,,,,,,,,,,
102 (2013),102/08,2013/8,印尼,"14,313",,,,,,,,,,,,,
102 (2013),102/09,2013/9,印尼,"15,592",,,,,,,,,,,,,
102 (2013),102/10,2013/10,印尼,"13,047",,,,,,,,,,,,,
102 (2013),102/11,2013/11,印尼,"12,013",,,,,,,,,,,,,
102 (2013),102/12,2013/12,印尼,"11,155",,,,,,,,,,,,,
103 (2014),103/01,2014/1,印尼,"15,077",,,,,,,,,,,,,
103 (2014),103/02,2014/2,印尼,"15,747",,,,,,,,,,,,,
103 (2014),103/03,2014/3,印尼,"13,628",,,,,,,,,,,,,
103 (2014),103/04,2014/4,印尼,"13,025",,,,,,,,,,,,,
103 (2014),103/05,2014/5,印尼,"13,800",,,,,,,,,,,,,
103 (2014),103/06,2014/6,印尼,"16,731",,,,,,,,,,,,,
103 (2014),103/07,2014/7,印尼,"16,122",,,,,,,,,,,,,
103 (2014),103/08,2014/8,印尼,"15,447",,,,,,,,,,,,,
103 (2014),103/09,2014/9,印尼,"14,327",,,,,,,,,,,,,
103 (2014),103/10,2014/10,印尼,"12,921",,,,,,,,,,,,,
103 (2014),103/11,2014/11,印尼,"12,093",,,,,,,,,,,,,
103 (2014),103/12,2014/12,印尼,"11,383",,,,,,,,,,,,,
104 (2015),104/01,2015/1,印尼,"11,863",,,,,,,,,,,,,
104 (2015),104/02,2015/2,印尼,"17,148",,,,,,,,,,,,,
104 (2015),104/03,2015/3,印尼,"16,066",,,,,,,,,,,,,
104 (2015),104/04,2015/4,印尼,"14,066",,,,,,,,,,,,,
104 (2015),104/05,2015/5,印尼,"14,530",,,,,,,,,,,,,
104 (2015),104/06,2015/6,印尼,"17,212",,,,,,,,,,,,,
104 (2015),104/07,2015/7,印尼,"18,707",,,,,,,,,,,,,
104 (2015),104/08,2015/8,印尼,"17,259",,,,,,,,,,,,,
104 (2015),104/09,2015/9,印尼,"14,407",,,,,,,,,,,,,
104 (2015),104/10,2015/10,印尼,"12,820",,,,,,,,,,,,,
104 (2015),104/11,2015/11,印尼,"11,487",,,,,,,,,,,,,
104 (2015),104/12,2015/12,印尼,"10,913",,,,,,,,,,,,,
105 (2016),105/01,2016/1,印尼,"12,438",,,,,,,,,,,,,
105 (2016),105/02,2016/2,印尼,"16,789",,,,,,,,,,,,,
105 (2016),105/03,2016/3,印尼,"13,811",,,,,,,,,,,,,
105 (2016),105/04,2016/4,印尼,"13,628",,,,,,,,,,,,,
105 (2016),105/05,2016/5,印尼,"14,617",,,,,,,,,,,,,
105 (2016),105/06,2016/6,印尼,"15,736",,,,,,,,,,,,,
105 (2016),105/07,2016/7,印尼,"17,448",,,,,,,,,,,,,
105 (2016),105/08,2016/8,印尼,"14,408",,,,,,,,,,,,,
105 (2016),105/09,2016/9,印尼,"15,711",,,,,,,,,,,,,
105 (2016),105/10,2016/10,印尼,"15,094",,,,,,,,,,,,,
105 (2016),105/11,2016/11,印尼,"13,670",,,,,,,,,,,,,
105 (2016),105/12,2016/12,印尼,"12,388",,,,,,,,,,,,,
106 (2017),106/01,2017/1,印尼,"17,317",,,,,,,,,,,,,
106 (2017),106/02,2017/2,印尼,"16,385",,,,,,,,,,,,,
106 (2017),106/03,2017/3,印尼,"15,773",,,,,,,,,,,,,
106 (2017),106/04,2017/4,印尼,"14,989",,,,,,,,,,,,,
106 (2017),106/05,2017/5,印尼,"16,947",,,,,,,,,,,,,
106 (2017),106/06,2017/6,印尼,"15,895",,,,,,,,,,,,,
106 (2017),106/07,2017/7,印尼,"17,267",,,,,,,,,,,,,
106 (2017),106/08,2017/8,印尼,"15,513",,,,,,,,,,,,,
106 (2017),106/09,2017/9,印尼,"14,758",,,,,,,,,,,,,
106 (2017),106/10,2017/10,印尼,"13,360",,,,,,,,,,,,,
101 (2012),101/01,2012/1,美國,"58,137",,,,,,,,,,,,,
101 (2012),101/02,2012/2,美國,"31,839",,,,,,,,,,,,,
101 (2012),101/03,2012/3,美國,"32,463",,,,,,,,,,,,,
101 (2012),101/04,2012/4,美國,"36,456",,,,,,,,,,,,,
101 (2012),101/05,2012/5,美國,"39,012",,,,,,,,,,,,,
101 (2012),101/06,2012/6,美國,"47,638",,,,,,,,,,,,,
101 (2012),101/07,2012/7,美國,"53,530",,,,,,,,,,,,,
101 (2012),101/08,2012/8,美國,"49,592",,,,,,,,,,,,,
101 (2012),101/09,2012/9,美國,"36,420",,,,,,,,,,,,,
101 (2012),101/10,2012/10,美國,"35,328",,,,,,,,,,,,,
101 (2012),101/11,2012/11,美國,"25,066",,,,,,,,,,,,,
101 (2012),101/12,2012/12,美國,"24,087",,,,,,,,,,,,,
102 (2013),102/01,2013/1,美國,"30,631",,,,,,,,,,,,,
102 (2013),102/02,2013/2,美國,"30,534",,,,,,,,,,,,,
102 (2013),102/03,2013/3,美國,"24,015",,,,,,,,,,,,,
102 (2013),102/04,2013/4,美國,"27,033",,,,,,,,,,,,,
102 (2013),102/05,2013/5,美國,"30,061",,,,,,,,,,,,,
102 (2013),102/06,2013/6,美國,"39,258",,,,,,,,,,,,,
102 (2013),102/07,2013/7,美國,"43,053",,,,,,,,,,,,,
102 (2013),102/08,2013/8,美國,"39,241",,,,,,,,,,,,,
102 (2013),102/09,2013/9,美國,"32,700",,,,,,,,,,,,,
102 (2013),102/10,2013/10,美國,"28,460",,,,,,,,,,,,,
102 (2013),102/11,2013/11,美國,"28,774",,,,,,,,,,,,,
102 (2013),102/12,2013/12,美國,"27,614",,,,,,,,,,,,,
103 (2014),103/01,2014/1,美國,"37,824",,,,,,,,,,,,,
103 (2014),103/02,2014/2,美國,"27,409",,,,,,,,,,,,,
103 (2014),103/03,2014/3,美國,"28,289",,,,,,,,,,,,,
103 (2014),103/04,2014/4,美國,"30,914",,,,,,,,,,,,,
103 (2014),103/05,2014/5,美國,"36,388",,,,,,,,,,,,,
103 (2014),103/06,2014/6,美國,"42,758",,,,,,,,,,,,,
103 (2014),103/07,2014/7,美國,"45,585",,,,,,,,,,,,,
103 (2014),103/08,2014/8,美國,"42,081",,,,,,,,,,,,,
103 (2014),103/09,2014/9,美國,"34,960",,,,,,,,,,,,,
103 (2014),103/10,2014/10,美國,"32,289",,,,,,,,,,,,,
103 (2014),103/11,2014/11,美國,"32,983",,,,,,,,,,,,,
103 (2014),103/12,2014/12,美國,"33,658",,,,,,,,,,,,,
104 (2015),104/01,2015/1,美國,"37,765",,,,,,,,,,,,,
104 (2015),104/02,2015/2,美國,"37,330",,,,,,,,,,,,,
104 (2015),104/03,2015/3,美國,"37,801",,,,,,,,,,,,,
104 (2015),104/04,2015/4,美國,"36,298",,,,,,,,,,,,,
104 (2015),104/05,2015/5,美國,"40,499",,,,,,,,,,,,,
104 (2015),104/06,2015/6,美國,"47,232",,,,,,,,,,,,,
104 (2015),104/07,2015/7,美國,"49,868",,,,,,,,,,,,,
104 (2015),104/08,2015/8,美國,"44,802",,,,,,,,,,,,,
104 (2015),104/09,2015/9,美國,"38,394",,,,,,,,,,,,,
104 (2015),104/10,2015/10,美國,"35,795",,,,,,,,,,,,,
104 (2015),104/11,2015/11,美國,"36,969",,,,,,,,,,,,,
104 (2015),104/12,2015/12,美國,"34,403",,,,,,,,,,,,,
105 (2016),105/01,2016/1,美國,"47,275",,,,,,,,,,,,,
105 (2016),105/02,2016/2,美國,"44,360",,,,,,,,,,,,,
105 (2016),105/03,2016/3,美國,"35,775",,,,,,,,,,,,,
105 (2016),105/04,2016/4,美國,"36,653",,,,,,,,,,,,,
105 (2016),105/05,2016/5,美國,"41,635",,,,,,,,,,,,,
105 (2016),105/06,2016/6,美國,"49,742",,,,,,,,,,,,,
105 (2016),105/07,2016/7,美國,"49,953",,,,,,,,,,,,,
105 (2016),105/08,2016/8,美國,"47,253",,,,,,,,,,,,,
105 (2016),105/09,2016/9,美國,"48,205",,,,,,,,,,,,,
105 (2016),105/10,2016/10,美國,"41,978",,,,,,,,,,,,,
105 (2016),105/11,2016/11,美國,"43,158",,,,,,,,,,,,,
105 (2016),105/12,2016/12,美國,"41,112",,,,,,,,,,,,,
106 (2017),106/01,2017/1,美國,"54,682",,,,,,,,,,,,,
106 (2017),106/02,2017/2,美國,"41,645",,,,,,,,,,,,,
106 (2017),106/03,2017/3,美國,"41,800",,,,,,,,,,,,,
106 (2017),106/04,2017/4,美國,"43,398",,,,,,,,,,,,,
106 (2017),106/05,2017/5,美國,"53,135",,,,,,,,,,,,,
106 (2017),106/06,2017/6,美國,"54,916",,,,,,,,,,,,,
106 (2017),106/07,2017/7,美國,"52,697",,,,,,,,,,,,,
106 (2017),106/08,2017/8,美國,"50,666",,,,,,,,,,,,,
106 (2017),106/09,2017/9,美國,"48,301",,,,,,,,,,,,,
106 (2017),106/10,2017/10,美國,"48,604",,,,,,,,,,,,,
101 (2012),101/01,2012/1,加拿大,"6,939",,,,,,,,,,,,,
101 (2012),101/02,2012/2,加拿大,"3,629",,,,,,,,,,,,,
101 (2012),101/03,2012/3,加拿大,"4,579",,,,,,,,,,,,,
101 (2012),101/04,2012/4,加拿大,"5,508",,,,,,,,,,,,,
101 (2012),101/05,2012/5,加拿大,"5,426",,,,,,,,,,,,,
101 (2012),101/06,2012/6,加拿大,"7,228",,,,,,,,,,,,,
101 (2012),101/07,2012/7,加拿大,"7,045",,,,,,,,,,,,,
101 (2012),101/08,2012/8,加拿大,"7,937",,,,,,,,,,,,,
101 (2012),101/09,2012/9,加拿大,"6,659",,,,,,,,,,,,,
101 (2012),101/10,2012/10,加拿大,"5,083",,,,,,,,,,,,,
101 (2012),101/11,2012/11,加拿大,"3,175",,,,,,,,,,,,,
101 (2012),101/12,2012/12,加拿大,"3,406",,,,,,,,,,,,,
102 (2013),102/01,2013/1,加拿大,"4,468",,,,,,,,,,,,,
102 (2013),102/02,2013/2,加拿大,"4,329",,,,,,,,,,,,,
102 (2013),102/03,2013/3,加拿大,"4,468",,,,,,,,,,,,,
102 (2013),102/04,2013/4,加拿大,"5,341",,,,,,,,,,,,,
102 (2013),102/05,2013/5,加拿大,"6,091",,,,,,,,,,,,,
102 (2013),102/06,2013/6,加拿大,"7,109",,,,,,,,,,,,,
102 (2013),102/07,2013/7,加拿大,"6,723",,,,,,,,,,,,,
102 (2013),102/08,2013/8,加拿大,"7,537",,,,,,,,,,,,,
102 (2013),102/09,2013/9,加拿大,"6,755",,,,,,,,,,,,,
102 (2013),102/10,2013/10,加拿大,"5,136",,,,,,,,,,,,,
102 (2013),102/11,2013/11,加拿大,"3,464",,,,,,,,,,,,,
102 (2013),102/12,2013/12,加拿大,"3,665",,,,,,,,,,,,,
103 (2014),103/01,2014/1,加拿大,"5,565",,,,,,,,,,,,,
103 (2014),103/02,2014/2,加拿大,"3,766",,,,,,,,,,,,,
103 (2014),103/03,2014/3,加拿大,"4,440",,,,,,,,,,,,,
103 (2014),103/04,2014/4,加拿大,"5,286",,,,,,,,,,,,,
103 (2014),103/05,2014/5,加拿大,"6,110",,,,,,,,,,,,,
103 (2014),103/06,2014/6,加拿大,"8,009",,,,,,,,,,,,,
103 (2014),103/07,2014/7,加拿大,"7,399",,,,,,,,,,,,,
103 (2014),103/08,2014/8,加拿大,"7,605",,,,,,,,,,,,,
103 (2014),103/09,2014/9,加拿大,"7,766",,,,,,,,,,,,,
103 (2014),103/10,2014/10,加拿大,"6,144",,,,,,,,,,,,,
103 (2014),103/11,2014/11,加拿大,"3,586",,,,,,,,,,,,,
103 (2014),103/12,2014/12,加拿大,"4,609",,,,,,,,,,,,,
104 (2015),104/01,2015/1,加拿大,"4,650",,,,,,,,,,,,,
104 (2015),104/02,2015/2,加拿大,"4,546",,,,,,,,,,,,,
104 (2015),104/03,2015/3,加拿大,"5,502",,,,,,,,,,,,,
104 (2015),104/04,2015/4,加拿大,"5,882",,,,,,,,,,,,,
104 (2015),104/05,2015/5,加拿大,"6,347",,,,,,,,,,,,,
104 (2015),104/06,2015/6,加拿大,"8,398",,,,,,,,,,,,,
104 (2015),104/07,2015/7,加拿大,"6,766",,,,,,,,,,,,,
104 (2015),104/08,2015/8,加拿大,"6,739",,,,,,,,,,,,,
104 (2015),104/09,2015/9,加拿大,"7,924",,,,,,,,,,,,,
104 (2015),104/10,2015/10,加拿大,"5,286",,,,,,,,,,,,,
104 (2015),104/11,2015/11,加拿大,"4,564",,,,,,,,,,,,,
104 (2015),104/12,2015/12,加拿大,"4,475",,,,,,,,,,,,,
105 (2016),105/01,2016/1,加拿大,"5,958",,,,,,,,,,,,,
105 (2016),105/02,2016/2,加拿大,"6,247",,,,,,,,,,,,,
105 (2016),105/03,2016/3,加拿大,"6,135",,,,,,,,,,,,,
105 (2016),105/04,2016/4,加拿大,"6,773",,,,,,,,,,,,,
105 (2016),105/05,2016/5,加拿大,"7,247",,,,,,,,,,,,,
105 (2016),105/06,2016/6,加拿大,"10,481",,,,,,,,,,,,,
105 (2016),105/07,2016/7,加拿大,"8,755",,,,,,,,,,,,,
105 (2016),105/08,2016/8,加拿大,"7,682",,,,,,,,,,,,,
105 (2016),105/09,2016/9,加拿大,"10,566",,,,,,,,,,,,,
105 (2016),105/10,2016/10,加拿大,"10,721",,,,,,,,,,,,,
105 (2016),105/11,2016/11,加拿大,"7,401",,,,,,,,,,,,,
105 (2016),105/12,2016/12,加拿大,"5,439",,,,,,,,,,,,,
106 (2017),106/01,2017/1,加拿大,"7,436",,,,,,,,,,,,,
106 (2017),106/02,2017/2,加拿大,"5,566",,,,,,,,,,,,,
106 (2017),106/03,2017/3,加拿大,"7,219",,,,,,,,,,,,,
106 (2017),106/04,2017/4,加拿大,"7,257",,,,,,,,,,,,,
106 (2017),106/05,2017/5,加拿大,"10,460",,,,,,,,,,,,,
106 (2017),106/06,2017/6,加拿大,"12,949",,,,,,,,,,,,,
106 (2017),106/07,2017/7,加拿大,"10,993",,,,,,,,,,,,,
106 (2017),106/08,2017/8,加拿大,"10,193",,,,,,,,,,,,,
106 (2017),106/09,2017/9,加拿大,"13,592",,,,,,,,,,,,,
106 (2017),106/10,2017/10,加拿大,"12,714",,,,,,,,,,,,,
