Location,Month,number of visitors
香港,1,"175,264"
香港,2,"201,180"
香港,3,"177,558"
香港,4,"209,572"
香港,5,"188,605"
香港,6,"171,663"
香港,7,"225,279"
香港,8,"236,981"
香港,9,"151,704"
香港,10,"187,493"
香港,11,"162,237"
香港,12,"173,465"
中國大陸,1,"62,464"
中國大陸,2,"77,591"
中國大陸,3,"70,080"
中國大陸,4,"118,464"
中國大陸,5,"116,050"
中國大陸,6,"113,513"
中國大陸,7,"141,198"
中國大陸,8,"134,944"
中國大陸,9,"155,012"
中國大陸,10,"196,436"
中國大陸,11,"170,981"
中國大陸,12,"159,354"
澳門,1,"53,111"
澳門,2,"64,553"
澳門,3,"69,527"
澳門,4,"70,257"
澳門,5,"55,422"
澳門,6,"52,098"
澳門,7,"68,932"
澳門,8,"70,430"
澳門,9,"51,663"
澳門,10,"62,155"
澳門,11,"61,226"
澳門,12,"59,889"
日本,1,"105,882"
日本,2,"64,257"
日本,3,"80,235"
日本,4,"96,453"
日本,5,"80,382"
日本,6,"75,108"
日本,7,"129,299"
日本,8,"130,359"
日本,9,"87,727"
日本,10,"101,227"
日本,11,"85,265"
日本,12,"77,663"
韓國,1,"38,172"
韓國,2,"31,002"
韓國,3,"27,854"
韓國,4,"41,274"
韓國,5,"34,115"
韓國,6,"27,795"
韓國,7,"35,420"
韓國,8,"40,131"
韓國,9,"23,423"
韓國,10,"32,726"
韓國,11,"27,506"
韓國,12,"29,388"
