Location,Month,number of visitors
香港,1,"216,776"
香港,2,"259,884"
香港,3,"228,301"
香港,4,"258,031"
香港,5,"255,719"
香港,6,"251,685"
香港,7,"274,405"
香港,8,"250,006"
香港,9,"220,795"
香港,10,"253,255"
香港,11,"199,105"
香港,12,"183,208"
中國大陸,1,374
中國大陸,2,"14,537"
中國大陸,3,0
中國大陸,4,"2,370"
中國大陸,5,37
中國大陸,6,"2,999"
中國大陸,7,"21,949"
中國大陸,8,"28,335"
中國大陸,9,"25,663"
中國大陸,10,"26,310"
中國大陸,11,"22,575"
中國大陸,12,"43,595"
澳門,1,"69,871"
澳門,2,"95,056"
澳門,3,"85,057"
澳門,4,"99,568"
澳門,5,"85,157"
澳門,6,"78,382"
澳門,7,"77,167"
澳門,8,"73,604"
澳門,9,"65,419"
澳門,10,"75,957"
澳門,11,"61,787"
澳門,12,"59,568"
日本,1,"104,753"
日本,2,"110,058"
日本,3,"92,266"
日本,4,"129,430"
日本,5,"124,440"
日本,6,"119,692"
日本,7,"143,940"
日本,8,"110,875"
日本,9,"93,112"
日本,10,"117,002"
日本,11,"91,480"
日本,12,"72,799"
韓國,1,"42,596"
韓國,2,"43,280"
韓國,3,"35,240"
韓國,4,"37,234"
韓國,5,"27,733"
韓國,6,"25,349"
韓國,7,"31,254"
韓國,8,"24,702"
韓國,9,"19,618"
韓國,10,"25,598"
韓國,11,"21,811"
韓國,12,"28,707"
